"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.206666654E-3,2.154185144E-1,3.336108425E-1,-1.892453685E0,1.933670675E0
1.514366665E-2,-6.962447785E-2,3.720665181E-1,-1.367438039E0,1.418861463E0
2.508066664E-2,-1.416397360E-1,4.783153966E-1,-7.333747441E-1,8.869531829E-1
3.501866665E-2,-1.720245729E-1,5.291168833E-1,-1.872763771E-1,5.870515916E-1
4.495566664E-2,-1.904673488E-1,4.941517031E-1,-3.939620018E-2,5.310515768E-1
5.489266664E-2,-1.257893231E-1,4.528086725E-1,-1.611001468E-1,4.968016757E-1
6.483066664E-2,-1.689070933E-1,5.916166019E-1,-4.944259375E-1,7.893014744E-1
7.476766664E-2,-4.250033348E-1,7.218630382E-1,-4.794342613E-1,9.651794090E-1
8.470466663E-2,-2.567103819E-1,6.763643914E-1,-1.662240618E-1,7.422933712E-1
9.464266663E-2,-2.177520285E-1,5.951603070E-1,2.650963855E-1,6.869554793E-1
1.045796666E-1,-2.973876887E-1,5.718807873E-1,3.410786140E-1,7.292610597E-1
1.145166666E-1,-2.115167039E-1,6.568800071E-1,1.148837543E-1,6.995919788E-1
1.244546666E-1,-8.846113689E-2,7.494525406E-1,-7.044199169E-2,7.579357212E-1
1.343916666E-1,5.135060417E-2,7.975713247E-1,-2.297511363E-1,8.315903361E-1
1.443286666E-1,1.737301143E-1,7.553842485E-1,-2.868638152E-1,8.264855498E-1
1.542666666E-1,1.837846757E-1,6.280538186E-1,-3.515381134E-1,7.428374326E-1
1.642036666E-1,3.165838785E-2,8.088456336E-1,5.233842731E-2,8.111552400E-1
1.741406666E-1,-2.443153080E-2,9.058295989E-1,2.298903000E-1,9.348656117E-1
1.840786666E-1,-1.486632104E-1,8.805190489E-1,2.002273750E-1,9.151532917E-1
1.940156666E-1,-2.738331489E-1,9.406035751E-1,6.111042023E-2,9.815570093E-1
2.039526666E-1,-1.954003523E-1,1.015214632E0,-1.639325380E-1,1.046764502E0
2.138906666E-1,-7.394633766E-2,1.067864715E0,-3.893772000E-1,1.139042455E0
2.238276666E-1,-1.233758848E-2,1.094892300E0,-4.902182811E-1,1.199689680E0
2.337646666E-1,-9.020170681E-3,1.004017798E0,-6.948772609E-1,1.221059995E0
2.437026666E-1,-7.706122253E-2,1.203130694E0,-5.021273053E-1,1.305983817E0
2.536396666E-1,1.519147922E-1,1.162049326E0,-4.221841729E-1,1.245662963E0
2.635766666E-1,-1.313755336E-1,1.035549493E0,-6.477720916E-1,1.228507618E0
2.735146666E-1,-2.212333145E-1,1.128317032E0,-5.988086772E-1,1.296385489E0
2.834516666E-1,-1.559530256E-1,1.257398703E0,-4.666007924E-1,1.350218183E0
2.933886666E-1,-7.763625965E-2,1.186077582E0,-5.035177732E-1,1.290866983E0
3.033256666E-1,-8.778772037E-2,1.150342616E0,-3.845684499E-1,1.216095272E0
3.132636666E-1,-1.031844990E-1,1.137627845E0,-2.442054534E-1,1.168109780E0
3.232006666E-1,-7.698137149E-2,1.141112494E0,-8.264279187E-2,1.146688138E0
3.331376666E-1,-5.874463677E-2,1.216880714E0,1.988287210E-1,1.234415839E0
3.430756666E-1,1.391292340E-1,1.229125076E0,4.261462462E-1,1.308321833E0
3.530126666E-1,2.481944239E-1,1.250257206E0,5.804086590E-1,1.400577654E0
3.629496666E-1,1.771918304E-1,1.221388917E0,6.052564019E-1,1.374599267E0
3.728876666E-1,6.434955843E-2,1.121524029E0,4.360204393E-1,1.205019019E0
3.828246666E-1,-3.994722717E-2,1.077971043E0,1.931335330E-2,1.078883847E0
3.927616667E-1,-1.302252401E-1,9.728015605E-1,-5.364715111E-1,1.118527233E0
4.026996666E-1,-7.356974043E-2,8.128267103E-1,-1.023184971E0,1.308819030E0
4.126366667E-1,1.609837141E-1,6.231620380E-1,-1.232688369E0,1.390599618E0
4.225736667E-1,3.886723913E-1,4.273417094E-1,-1.065009520E0,1.211582619E0
4.325116667E-1,6.819366418E-1,1.607107222E-1,-4.486790764E-1,8.319726157E-1
4.424486667E-1,1.013379337E0,-1.263210543E-1,5.019513041E-1,1.137914672E0
4.523856667E-1,1.284508587E0,-3.555680144E-1,1.415595122E0,1.944299481E0
4.623236667E-1,1.256604504E0,-5.920447643E-1,1.706768920E0,2.200598107E0
4.722606667E-1,1.081576875E0,-7.310990077E-1,1.411094520E0,1.922368861E0
4.821976667E-1,7.147257806E-1,-8.156728426E-1,5.389893222E-1,1.211059295E0
4.921356667E-1,2.247336406E-1,-8.171283607E-1,-5.750186956E-1,1.024134009E0
5.020726667E-1,-2.406148244E-1,-7.380737127E-1,-1.706536201E0,1.874810418E0
5.120096667E-1,-5.139974454E-1,-4.575769307E-1,-2.584413185E0,2.674464719E0
5.219476667E-1,-3.575876427E-1,-2.825564638E-2,-3.109174477E0,3.129797635E0
5.318846666E-1,7.854974091E-2,2.933270350E-1,-3.072383212E0,3.087353140E0
5.418216666E-1,1.180443351E0,9.451664498E-1,-1.661621983E0,2.246725114E0
5.517596666E-1,2.593314402E0,1.628134979E0,3.143287718E-1,3.078133472E0
5.616966666E-1,3.268409362E0,1.601462174E0,1.342127781E0,3.879238048E0
5.716336666E-1,2.988942860E0,1.010744435E0,1.501284898E0,3.494172302E0
5.815716666E-1,1.537294829E0,2.705666019E-1,1.631398310E0,2.257862291E0
5.915086666E-1,-6.160519700E-1,-4.327233405E-1,1.445713545E0,1.629986863E0
6.014456666E-1,-3.010954118E0,-1.148278695E0,1.690838181E0,3.639137593E0
6.113826666E-1,-4.037523750E0,-1.089071251E0,3.632059398E0,5.538910515E0
6.213206666E-1,-2.175302217E0,-7.809761958E-1,7.338907608E0,7.694246450E0
6.312576666E-1,1.403264514E-1,-7.372230890E-1,1.141000636E1,1.143465936E1
6.411946666E-1,-1.322745430E-1,-1.016203103E0,1.378274800E1,1.382079259E1
6.511326666E-1,-1.167879293E0,-1.173944463E0,1.347762626E1,1.357897261E1
6.610696666E-1,-2.670844973E0,-1.964097572E0,1.183408386E1,1.228969621E1
6.710066666E-1,-2.801780211E0,-2.520575039E0,1.013889536E1,1.081667555E1
6.809446666E-1,-9.933276263E-1,-1.582926354E0,7.827444815E0,8.047437353E0
6.908816666E-1,2.217091683E-1,5.975733067E-1,5.148167573E0,5.187473197E0
7.008186666E-1,-9.599622443E-1,2.232814845E0,4.045921229E0,4.719795360E0
7.107566666E-1,-3.244520563E0,2.051032951E0,3.670764458E0,5.311135618E0
7.206936666E-1,-3.808695305E0,5.750950018E-1,3.612777620E0,5.281009024E0
7.306306666E-1,-2.588200719E0,-1.014613099E0,4.025955911E0,4.892498718E0
7.405686666E-1,-8.618661386E-1,-2.353060204E0,4.070583615E0,4.780100055E0
7.505056666E-1,9.608823037E-1,-2.718810267E0,2.951241183E0,4.126142095E0
7.604426666E-1,1.937519930E0,-2.131683742E0,1.294303989E0,3.158050328E0
7.703806666E-1,2.250194232E0,-3.064890297E0,-1.736959848E0,4.180186136E0
7.803176666E-1,2.148896191E0,-3.244673175E0,-5.157248883E0,6.460872611E0
7.902546666E-1,2.615879391E0,-2.724399036E0,-7.212537584E0,8.141613691E0
8.001926666E-1,3.214718474E0,-1.961758247E0,-7.769192514E0,8.633844022E0
8.101296666E-1,3.630136249E0,-1.062229461E0,-7.801968496E0,8.670463254E0
8.200666666E-1,3.256690373E0,-5.510611547E-2,-8.056017153E0,8.689561625E0
8.300046666E-1,2.960313722E0,1.130945794E0,-8.221001605E0,8.810639200E0
8.399416666E-1,2.424011781E0,2.513097035E0,-8.386339229E0,9.084171700E0
8.498786666E-1,2.591117310E0,3.311095791E0,-8.497077892E0,9.480378524E0
8.598166666E-1,3.349130759E0,2.948367861E0,-8.458373417E0,9.563139168E0
8.697536666E-1,2.459671902E0,4.132783372E0,-8.357898372E0,9.642839284E0
8.796906666E-1,2.137313734E0,5.447558463E0,-8.399012484E0,1.023657237E1
8.896295417E-1,2.244015479E0,6.586238807E0,-8.672691997E0,1.111889084E1
