"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.260583384E-3,5.140212728E-1,-9.887934029E-2,-9.737742448E-1,1.105545690E0
1.319858339E-2,8.032543798E-1,-2.527900431E-1,-1.455419338E0,1.681477284E0
2.313658339E-2,6.470954226E-1,-4.152125376E-1,-1.731371664E0,1.894408028E0
3.307458339E-2,7.659131835E-1,-4.934301567E-1,-1.528637588E0,1.779558709E0
4.301158339E-2,8.524459818E-1,-3.708716395E-1,-9.983559394E-1,1.364157068E0
5.294958339E-2,9.642109774E-1,-2.106652397E-1,-5.041983891E-1,1.108286365E0
6.288758339E-2,1.082132945E0,-1.824530089E-1,-1.255783117E-1,1.104568116E0
7.282558340E-2,1.045521189E0,-3.234837574E-1,2.431219643E-1,1.121099722E0
8.276258339E-2,1.054749265E0,-4.879808441E-1,5.064513212E-1,1.267720102E0
9.270058339E-2,8.711216962E-1,-4.452792129E-1,6.922629708E-1,1.198480124E0
1.026385834E-1,4.944440639E-1,-1.893614942E-1,7.673447281E-1,9.322824891E-1
1.125755834E-1,9.858814895E-2,2.164022353E-1,7.036638719E-1,7.427599849E-1
1.225135834E-1,-8.616647020E-2,5.634131420E-1,7.040462798E-1,9.058367365E-1
1.324515834E-1,-4.179523967E-1,7.762199244E-1,7.718932772E-1,1.171759706E0
1.423885834E-1,-5.835367732E-1,7.498551214E-1,6.353906125E-1,1.143030664E0
1.523265834E-1,-3.765966484E-1,6.517856205E-1,4.237383628E-1,8.638308461E-1
1.622645834E-1,7.830445021E-3,5.834512576E-1,3.947852898E-1,7.045084179E-1
1.722025833E-1,2.905762124E-1,4.423646683E-1,8.051206648E-2,5.353533672E-1
1.821395834E-1,6.113024229E-1,3.657497710E-1,-4.430236495E-1,8.388882531E-1
1.920775833E-1,9.737138723E-1,3.273306406E-1,-9.723679894E-1,1.414483496E0
2.020155833E-1,1.253541441E0,3.637617177E-1,-1.433222723E0,1.938508732E0
2.119535833E-1,1.446599691E0,3.965499794E-1,-1.741669781E0,2.298546535E0
2.218905833E-1,1.457336348E0,4.217158109E-1,-1.807536326E0,2.359843433E0
2.318285833E-1,1.377971213E0,4.735253575E-1,-1.699076908E0,2.238279086E0
2.417665833E-1,1.299537832E0,5.395132327E-1,-1.497241548E0,2.054654559E0
2.517035833E-1,1.230122611E0,6.102078241E-1,-1.264615336E0,1.866763824E0
2.616415833E-1,1.204637522E0,6.914969856E-1,-1.072299244E0,1.754749357E0
2.715795833E-1,1.150249353E0,8.061816421E-1,-7.751016444E-1,1.604302020E0
2.815175833E-1,1.011294000E0,9.331311259E-1,-4.177484751E-1,1.438041391E0
2.914545833E-1,9.573967785E-1,1.007385210E0,-1.788914698E-1,1.401226502E0
3.013925833E-1,8.108156336E-1,9.766247624E-1,-9.847763658E-2,1.273151901E0
3.113305833E-1,6.278127672E-1,9.555397028E-1,-1.431030017E-1,1.152251476E0
3.212675833E-1,5.879295670E-1,9.651431698E-1,-3.190024513E-1,1.174276406E0
3.312055833E-1,5.679043152E-1,1.016829340E0,-4.688326746E-1,1.255492451E0
3.411435833E-1,6.249786948E-1,1.078538515E0,-4.560968542E-1,1.327353773E0
3.510816250E-1,5.729418377E-1,1.092096162E0,-2.044022870E-1,1.250086665E0
3.610186250E-1,4.428581002E-1,1.123600960E0,2.276701123E-1,1.228998004E0
3.709566250E-1,2.526837699E-1,1.137089902E0,7.307604539E-1,1.375075770E0
3.808946250E-1,1.349050226E-1,1.093393074E0,9.316392088E-1,1.442795687E0
3.908316250E-1,1.493041932E-1,1.079294268E0,9.260492706E-1,1.429942345E0
4.007696250E-1,1.745860188E-1,1.068743260E0,7.646678728E-1,1.325673183E0
4.107076250E-1,2.635037501E-1,1.093296595E0,6.059767789E-1,1.277473885E0
4.206456250E-1,3.791957358E-1,1.202222621E0,6.190423822E-1,1.404400979E0
4.305826250E-1,3.898564890E-1,1.233091827E0,7.333314747E-1,1.486700571E0
4.405206250E-1,3.444687931E-1,1.203485035E0,7.892676938E-1,1.479857585E0
4.504586250E-1,2.874503275E-1,1.150093817E0,7.889455122E-1,1.424000878E0
